loss	alae	limit	
10	3806	500000	
24	5658	1000000	
45	321	1000000	
51	305	500000	
78	78	500000	
123	60790	300000	
133	2305	300000	
140	1940	1000000	
147	2881	750000	
308	30735	1000000	
350	1255	300000	
500	164	100000	
500	1406	100000	
500	1527	300000	
500	1938	500000	
500	2215	1000000	
500	2706	500000	
500	4419	300000	
500	4495	1000000	
500	6350	300000	
500	10246	500000	
600	1458	300000	
634	211	1000000	
700	748	-99	
750	1737	500000	
750	3184	1000000	
750	3564	-99	
750	4788	1000000	
750	7865	500000	
833	9900	1000000	
900	968	50000	
916	5522	100000	
1000	407	1000000	
1000	450	750000	
1000	464	500000	
1000	780	1000000	
1000	946	50000	
1000	1088	500000	
1000	1289	500000	
1000	2293	250000	
1000	2302	1000000	
1000	2481	100000	
1000	2488	500000	
1000	2750	1000000	
1000	3388	500000	
1000	4149	500000	
1000	5675	1000000	
1000	6626	500000	
1000	7797	500000	
1000	9412	1000000	
1000	20564	1000000	
1122	1422	1000000	
1125	1224	300000	
1250	365	-99	
1250	371	300000	
1250	531	500000	
1300	1409	1000000	
1375	9459	1000000	
1456	3911	100000	
1500	60	1000000	
1500	1275	-99	
1500	2422	500000	
1500	3247	150000	
1500	4701	300000	
1500	4860	500000	
1500	6528	500000	
1500	7689	100000	
1500	8131	5000	
1500	8228	500000	
1500	11994	1000000	
1500	17146	300000	
1522	1614	25000	
1600	3537	1000000	
1666	261	300000	
1666	12323	1000000	
1701	12426	300000	
1750	198	-99	
1750	1930	500000	
1800	776	300000	
1800	1791	300000	
1937	293	100000	
1974	775	750000	
1980	2706	500000	
2000	700	500000	
2000	1190	500000	
2000	1699	5000	
2000	2453	500000	
2000	3597	300000	
2000	4505	500000	
2000	5439	1000000	
2000	5767	300000	
2000	6033	1000000	
2000	6858	300000	
2000	6995	500000	
2000	8401	1000000	
2000	8650	500000	
2000	17222	500000	
2002	5971	100000	
2022	610	500000	
2250	8204	1000000	
2500	145	300000	
2500	540	1000000	
2500	544	-99	
2500	1059	250000	
2500	1150	300000	
2500	1862	1000000	
2500	1992	500000	
2500	2439	-99	
2500	2462	300000	
2500	2874	-99	
2500	2939	10000	
2500	3352	1000000	
2500	3583	100000	
2500	4729	300000	
2500	4805	500000	
2500	4950	500000	
2500	5000	500000	
2500	5453	500000	
2500	5678	500000	
2500	5758	-99	
2500	6209	500000	
2500	7369	500000	
2500	7467	500000	
2500	9073	250000	
2500	9652	500000	
2500	12644	100000	
2500	14842	500000	
2600	824	500000	
2700	3531	500000	
2730	112158	500000	
2749	2506	1000000	
3000	1301	500000	
3000	1594	-99	
3000	1618	500000	
3000	1693	500000	
3000	1952	1000000	
3000	2103	100000	
3000	2949	500000	
3000	5831	500000	
3000	7176	1000000	
3000	10330	500000	
3000	11561	500000	
3000	11861	1000000	
3000	14485	500000	
3162	339	300000	
3269	7081	1000000	
3480	15953	500000	
3500	378	300000	
3500	3395	1000000	
3500	11240	300000	
3500	25176	1000000	
3600	3063	1000000	
3750	1536	300000	
3750	4224	300000	
3941	3689	500000	
4000	50	-99	
4000	355	1000000	
4000	1390	100000	
4000	2411	500000	
4000	2914	300000	
4000	3370	500000	
4000	3499	1000000	
4000	4439	300000	
4000	20142	1000000	
4038	5687	500000	
4465	1534	500000	
4500	2406	300000	
4500	3046	500000	
4535	1542	1000000	
4568	6180	500000	
4675	2588	1000000	
4700	5586	500000	
4750	5293	500000	
5000	137	300000	
5000	187	500000	
5000	704	500000	
5000	721	-99	
5000	1000	500000	
5000	1162	500000	
5000	1398	500000	
5000	2140	300000	
5000	2646	1000000	
5000	3604	1000000	
5000	4445	1000000	
5000	4696	300000	
5000	4756	-99	
5000	4885	250000	
5000	6292	500000	
5000	6719	1000000	
5000	7204	-99	
5000	7279	500000	
5000	7381	500000	
5000	8541	2500000	
5000	8909	300000	
5000	9858	500000	
5000	12812	300000	
5000	14683	-99	
5000	16014	300000	
5000	16099	1000000	
5010	6101	100000	
5097	9437	500000	
5500	1309	500000	
5500	3412	500000	
5600	4346	500000	
5619	2798	500000	
5655	974	500000	
6000	2754	500000	
6000	3719	25000	
6000	5823	500000	
6000	7106	500000	
6000	8520	300000	
6000	12383	500000	
6403	5111	50000	
6500	1194	-99	
6500	3698	300000	
6538	12277	500000	
6719	18254	-99	
6750	518	500000	
6907	2383	250000	
7000	1900	1000000	
7000	3431	300000	
7000	10593	-99	
7000	12909	300000	
7000	16246	500000	
7500	500	-99	
7500	508	500000	
7500	1351	500000	
7500	1449	500000	
7500	2873	300000	
7500	3285	1000000	
7500	4949	1000000	
7500	5006	500000	
7500	5244	500000	
7500	7318	1000000	
7500	7340	500000	
7500	7624	500000	
7500	11488	500000	
7500	11949	-99	
7500	13342	500000	
7500	15771	500000	
7500	17213	1000000	
7500	65020	500000	
7525	1687	500000	
7961	18113	100000	
8000	13251	500000	
8333	5116	1000000	
8333	31367	1000000	
8500	2791	-99	
8500	3484	-99	
8500	3869	100000	
8500	5403	500000	
8500	8721	100000	
8500	15780	500000	
8703	11546	300000	
8827	3329	1000000	
8939	16252	1000000	
9000	4602	300000	
9000	16732	1000000	
9250	6238	500000	
9250	23557	100000	
9427	1978	100000	
9500	2995	300000	
9500	3593	1000000	
9500	11243	500000	
10000	255	500000	
10000	258	500000	
10000	386	1000000	
10000	1787	1000000	
10000	2049	500000	
10000	2748	1000000	
10000	2907	500000	
10000	3526	1000000	
10000	3667	-99	
10000	4007	-99	
10000	4493	1000000	
10000	5111	500000	
10000	5192	500000	
10000	6422	500000	
10000	7909	1000000	
10000	8226	100000	
10000	8623	500000	
10000	11257	-99	
10000	11563	1000000	
10000	12089	300000	
10000	17053	-99	
