copname	lb1	ub1	lb2	ub2	lb3	ub3
bvncop	-1	1	NA	NA	NA	NA
bvtcop	-1	1	0	Inf	NA	NA	
pla	0	Inf	NA	NA	NA	NA
frk	-Inf	Inf	NA	NA	NA	NA
mtcj	0	Inf	NA	NA	NA	NA
joe	1	Inf	NA	NA	NA	NA
gum	1	Inf	NA	NA	NA	NA
gal	0	Inf	NA	NA	NA	NA
hr	0	Inf	NA	NA	NA	NA
ipsA	0	Inf	NA	NA	NA	NA
invgamA	0	Inf	NA	NA	NA	NA
bMO	0	1	0	1	NA	NA
basymgum1	1	Inf	0	1	NA	NA
asymgumMO	1	Inf	0	1	0	1
asymgum	-Inf	0	-Inf	0	NA	NA
asymgal	-Inf	0	-Inf	0	NA	NA
tev	-1	1	0	Inf	NA	NA
bb1	0	Inf	1	Inf	NA	NA
bb2	0	Inf	0	Inf	NA	NA
bb3	1	Inf	0	Inf	NA	NA
bb4	1	Inf	1	Inf	NA	NA
bb5	1	Inf	0	Inf	NA	NA
bb6	1	Inf	1	Inf	NA	NA
bb7	1	Inf	0	Inf	NA	NA
bb8	1	Inf	0	1	NA	NA
bb9	1	Inf	0	Inf	NA	NA
bb10	0	Inf	0	1	NA	NA
fgm	-1	1	NA	NA	NA	NA
imitlefA	0	Inf	1	Inf	NA	NA
bb1rpow	0	Inf	1	Inf	0	Inf
bb7pow	1	Inf	0	Inf	0	Inf
