nclaims	x1	x2
6 0.5 8.660254e-01
7 8.660254e-01 0.5 
8 1.0 0 
9 8.660254e-01 -0.5 
6 0.5 -8.660254e-01
8 0 -1.0 
5 -0.5 -8.660254e-01
3 -8.660254e-01 -0.5 
7 -1.0 0 
11 -8.660254e-01 0.5 
8 -0.5 8.660254e-01
4 0 1.0 
2 0.5 8.660254e-01
3 8.660254e-01 0.5 
4 1.0 0 
5 8.660254e-01 -0.5 
7 0.5 -8.660254e-01
8 0 -1.0 
12 -0.5 -8.660254e-01
11 -8.660254e-01 -0.5 
12 -1.0 0 
6 -8.660254e-01 0.5 
2 -0.5 8.660254e-01
2 0 1.0 
3 0.5 8.660254e-01
3 8.660254e-01 0.5 
5 1.0 0 
6 8.660254e-01 -0.5 
13 0.5 -8.660254e-01
12 0 -1.0 
21 -0.5 -8.660254e-01
9 -8.660254e-01 -0.5 
11 -1.0 0 
11 -8.660254e-01 0.5 
10 -0.5 8.660254e-01
8 0 1.0 
5 0.5 8.660254e-01
4 8.660254e-01 0.5 
4 1.0 0 
4 8.660254e-01 -0.5 
2 0.5 -8.660254e-01
9 0 -1.0 
8 -0.5 -8.660254e-01
5 -8.660254e-01 -0.5 
10 -1.0 0 
12 -8.660254e-01 0.5 
11 -0.5 8.660254e-01
9 0 1.0 
4 0.5 8.660254e-01
5 8.660254e-01 0.5 
5 1.0 0 
10 8.660254e-01 -0.5 
14 0.5 -8.660254e-01
7 0 -1.0 
11 -0.5 -8.660254e-01
12 -8.660254e-01 -0.5 
7 -1.0 0 
8 -8.660254e-01 0.5 
14 -0.5 8.660254e-01
6 0 1.0 
4 0.5 8.660254e-01
3 8.660254e-01 0.5 
4 1.0 0 
4 8.660254e-01 -0.5 
7 0.5 -8.660254e-01
6 0 -1.0 
9 -0.5 -8.660254e-01
8 -8.660254e-01 -0.5 
2 -1.0 0 
4 -8.660254e-01 0.5 
3 -0.5 8.660254e-01
1 0 1.0 
3 0.5 8.660254e-01
1 8.660254e-01 0.5 
4 1.0 0 
3 8.660254e-01 -0.5 
5 0.5 -8.660254e-01
3 0 -1.0 
8 -0.5 -8.660254e-01
11 -8.660254e-01 -0.5 
7 -1.0 0 
9 -8.660254e-01 0.5 
5 -0.5 8.660254e-01
3 0 1.0 
6 0.5 8.660254e-01
4 8.660254e-01 0.5 
5 1.0 0 
6 8.660254e-01 -0.5 
7 0.5 -8.660254e-01
7 0 -1.0 
3 -0.5 -8.660254e-01
5 -8.660254e-01 -0.5 
5 -1.0 0 
4 -8.660254e-01 0.5 
4 -0.5 8.660254e-01
2 0 1.0 
3 0.5 8.660254e-01
6 8.660254e-01 0.5 
3 1.0 0 
1 8.660254e-01 -0.5 
3 0.5 -8.660254e-01
6 0 -1.0 
5 -0.5 -8.660254e-01
9 -8.660254e-01 -0.5 
9 -1.0 0 
5 -8.660254e-01 0.5 
6 -0.5 8.660254e-01
4 0 1.0 
6 0.5 8.660254e-01
2 8.660254e-01 0.5 
4 1.0 0 
1 8.660254e-01 -0.5 
6 0.5 -8.660254e-01
5 0 -1.0 
3 -0.5 -8.660254e-01
2 -8.660254e-01 -0.5 
2 -1.0 0 
2 -8.660254e-01 0.5 
9 -0.5 8.660254e-01
5 0 1.0 
